year	bicycles
10/03/2012 12:00:00 AM	9
10/03/2012 01:00:00 AM	6
10/03/2012 02:00:00 AM	1
10/03/2012 03:00:00 AM	3
10/03/2012 04:00:00 AM	1
10/03/2012 05:00:00 AM	10
10/03/2012 06:00:00 AM	50
10/03/2012 07:00:00 AM	95
10/03/2012 08:00:00 AM	146
10/03/2012 09:00:00 AM	104
10/03/2012 10:00:00 AM	46
10/03/2012 11:00:00 AM	32
10/03/2012 12:00:00 PM	41
10/03/2012 01:00:00 PM	48
10/03/2012 02:00:00 PM	51
10/03/2012 03:00:00 PM	92
10/03/2012 04:00:00 PM	182
10/03/2012 05:00:00 PM	391
10/03/2012 06:00:00 PM	258
10/03/2012 07:00:00 PM	69
10/03/2012 08:00:00 PM	51
10/03/2012 09:00:00 PM	38
10/03/2012 10:00:00 PM	25
10/03/2012 11:00:00 PM	12
10/04/2012 12:00:00 AM	11
10/04/2012 01:00:00 AM	0
10/04/2012 02:00:00 AM	6
10/04/2012 03:00:00 AM	3
10/04/2012 04:00:00 AM	1
10/04/2012 05:00:00 AM	11
10/04/2012 06:00:00 AM	51
10/04/2012 07:00:00 AM	89
10/04/2012 08:00:00 AM	134
10/04/2012 09:00:00 AM	94
10/04/2012 10:00:00 AM	53
10/04/2012 11:00:00 AM	55
10/04/2012 12:00:00 PM	50
10/04/2012 01:00:00 PM	71
10/04/2012 02:00:00 PM	56
10/04/2012 03:00:00 PM	74
10/04/2012 04:00:00 PM	161
10/04/2012 05:00:00 PM	353
10/04/2012 06:00:00 PM	241
10/04/2012 07:00:00 PM	107
10/04/2012 08:00:00 PM	56
10/04/2012 09:00:00 PM	39
10/04/2012 10:00:00 PM	21
10/04/2012 11:00:00 PM	30
10/05/2012 12:00:00 AM	7
10/05/2012 01:00:00 AM	4
10/05/2012 02:00:00 AM	3
10/05/2012 03:00:00 AM	2
10/05/2012 04:00:00 AM	2
10/05/2012 05:00:00 AM	7
10/05/2012 06:00:00 AM	37
10/05/2012 07:00:00 AM	101
10/05/2012 08:00:00 AM	119
10/05/2012 09:00:00 AM	81
10/05/2012 10:00:00 AM	48
10/05/2012 11:00:00 AM	61
10/05/2012 12:00:00 PM	46
10/05/2012 01:00:00 PM	50
10/05/2012 02:00:00 PM	62
10/05/2012 03:00:00 PM	84
10/05/2012 04:00:00 PM	190
10/05/2012 05:00:00 PM	290
10/05/2012 06:00:00 PM	209
10/05/2012 07:00:00 PM	73
10/05/2012 08:00:00 PM	41
10/05/2012 09:00:00 PM	31
10/05/2012 10:00:00 PM	26
10/05/2012 11:00:00 PM	16
10/06/2012 12:00:00 AM	7
10/06/2012 01:00:00 AM	5
10/06/2012 02:00:00 AM	2
10/06/2012 03:00:00 AM	2
10/06/2012 04:00:00 AM	1
10/06/2012 05:00:00 AM	2
10/06/2012 06:00:00 AM	15
10/06/2012 07:00:00 AM	16
10/06/2012 08:00:00 AM	47
10/06/2012 09:00:00 AM	55
10/06/2012 10:00:00 AM	47
10/06/2012 11:00:00 AM	48
10/06/2012 12:00:00 PM	73
10/06/2012 01:00:00 PM	82
10/06/2012 02:00:00 PM	114
10/06/2012 03:00:00 PM	96
10/06/2012 04:00:00 PM	76
10/06/2012 05:00:00 PM	73
10/06/2012 06:00:00 PM	55
10/06/2012 07:00:00 PM	38
10/06/2012 08:00:00 PM	18
10/06/2012 09:00:00 PM	15
10/06/2012 10:00:00 PM	20
10/06/2012 11:00:00 PM	19
10/07/2012 12:00:00 AM	5
10/07/2012 01:00:00 AM	5
10/07/2012 02:00:00 AM	1
10/07/2012 03:00:00 AM	2
10/07/2012 04:00:00 AM	2
10/07/2012 05:00:00 AM	3
10/07/2012 06:00:00 AM	8
10/07/2012 07:00:00 AM	12
10/07/2012 08:00:00 AM	26
10/07/2012 09:00:00 AM	36
10/07/2012 10:00:00 AM	41
10/07/2012 11:00:00 AM	71
10/07/2012 12:00:00 PM	91
10/07/2012 01:00:00 PM	99
10/07/2012 02:00:00 PM	115
10/07/2012 03:00:00 PM	109
10/07/2012 04:00:00 PM	93
10/07/2012 05:00:00 PM	73
10/07/2012 06:00:00 PM	45
10/07/2012 07:00:00 PM	23
10/07/2012 08:00:00 PM	36
10/07/2012 09:00:00 PM	35
10/07/2012 10:00:00 PM	9
10/07/2012 11:00:00 PM	11
10/08/2012 12:00:00 AM	5
10/08/2012 01:00:00 AM	2
10/08/2012 02:00:00 AM	0
10/08/2012 03:00:00 AM	4
10/08/2012 04:00:00 AM	2
10/08/2012 05:00:00 AM	7
10/08/2012 06:00:00 AM	48
10/08/2012 07:00:00 AM	94
10/08/2012 08:00:00 AM	153
10/08/2012 09:00:00 AM	104
10/08/2012 10:00:00 AM	44
10/08/2012 11:00:00 AM	44
10/08/2012 12:00:00 PM	55
10/08/2012 01:00:00 PM	44
10/08/2012 02:00:00 PM	62
10/08/2012 03:00:00 PM	75
10/08/2012 04:00:00 PM	135
10/08/2012 05:00:00 PM	390
10/08/2012 06:00:00 PM	226
10/08/2012 07:00:00 PM	95
10/08/2012 08:00:00 PM	57
10/08/2012 09:00:00 PM	35
10/08/2012 10:00:00 PM	14
10/08/2012 11:00:00 PM	13
10/09/2012 12:00:00 AM	4
